word,count,en,sentiment
montant,96,Amount,NEGATIVE
monde,96,World,MIXED
longue,96,Long,NEGATIVE
personnels,95,Staff,MIXED
annonces,95,Announcements,NEGATIVE
ete fait,95,Was done,MIXED
livraison tout,95,Delivery all,MIXED
presque,95,Almost.,MIXED
confirme,95,Confirm,MIXED
content achat,94,Happy purchase,POSITIVE
heureusement,94,"Fortunately,",NEGATIVE
tapes,94,Type,MIXED
voiture neuve,94,New car,MIXED
quitter,94,Leave,NEGATIVE
option,93,Option,NEGATIVE
periode,93,Period,NEGATIVE
vue,93,View,MIXED
instant,93,Moment,MIXED
effet,93,Effect,NEGATIVE
voiture occasion,93,Used car,MIXED
faites,93,Do,MIXED
coffre,93,Trunk,MIXED
rembourser,93,Refund,NEGATIVE
tres satisfait achat,93,Very satisfied purchase,POSITIVE
refus,93,Refusal,NEGATIVE
apres achat,93,After purchase,MIXED
message,93,Message,NEGATIVE
convenu,92,Agreed,MIXED
photo,92,Photo,MIXED
repondre questions,92,Answer questions,MIXED
agréablement,92,Pleasantly,POSITIVE
rassure,92,Reassure,MIXED
jeune,92,Young,NEGATIVE
suivi commande,91,Tracking order,MIXED
facilement,91,Easily,POSITIVE
tout ete parfait,91,Everything was perfect.,POSITIVE
constate,91,Notes,MIXED
recommande site,91,Recommend site,POSITIVE
merci tous,91,Thank you all.,POSITIVE
intervention,91,Intervention,MIXED
article,91,article,MIXED
allez,90,Come on.,POSITIVE
simplement,90,Just,NEGATIVE
comme prevu,90,As expected,MIXED
choses,90,Things,NEGATIVE
seule,90,Alone,NEGATIVE
tres belle,90,Very beautiful,POSITIVE
tres professionnels,90,Very professional,POSITIVE
positif,90,Positive,MIXED
nom,90,Name,NEGATIVE
qualité prix,90,Quality price,MIXED
achat livraison,90,Purchase delivery,POSITIVE
tres comptent,90,Very important,POSITIVE
interessant,90,Interesting,POSITIVE
rennes,90,Reindeer,MIXED
controle technique,90,Technical control,MIXED
service livraison,89,Delivery service,MIXED
quelques jours,89,A few days,NEGATIVE
piece,89,Part,MIXED
voyant,89,Seer,MIXED
durant,89,During,NEGATIVE
client tres,89,Customer very,POSITIVE
notamment,89,In particular,MIXED
pare,89,PARE,MIXED
secretaire,89,Secretary,NEGATIVE
courrier,89,Mail,NEGATIVE
bon accueil tres,89,Welcome very,POSITIVE
pouvez,88,Can,MIXED
details,88,Details,MIXED
bien explique,88,Well explained.,POSITIVE
mois apres,88,Month after,MIXED
satisfait vehicule,88,Vehicle satisfaction,MIXED
droit,88,Law,POSITIVE
pub,88,Advertising,NEGATIVE
octobre,88,October,MIXED
possession,88,Possession,POSITIVE
choix vehicule,88,Choice of vehicle,MIXED
stephanie,87,Stephanie.,POSITIVE
joindre,87,Join us,MIXED
bon etat,87,Good state,POSITIVE
ici,87,Here,MIXED
précises,87,Precise,MIXED
belle experience,87,Great experience,POSITIVE
arnaque,87,Scam,NEGATIVE
produits,87,Products,NEGATIVE
serviable,87,Helpful,NEGATIVE
vehicule tout,87,Vehicle everything,NEGATIVE
garage renaît,87,Garage reborn,POSITIVE
sanders,87,Sanders.,POSITIVE
bonne accueil,87,Welcome,POSITIVE
précis,86,Precise,MIXED
courant,86,Current,MIXED
réceptionne,86,Received,MIXED
refuse,86,Refuse,NEGATIVE
souriant,86,Smiling,POSITIVE
sympathiques,86,Friendly,POSITIVE
technicien,86,Technician,MIXED
been,86,♪ been ♪,MIXED
verifier,85,Verify,POSITIVE
tel,85,Like,MIXED
site tres,85,Site Tres,POSITIVE
excellente experience,85,Excellent experience,POSITIVE
scene,85,Scene,MIXED
irréprochable,85,Impeccable,POSITIVE
tombe,85,Fall,NEGATIVE
super experience,85,Great experience.,POSITIVE
retard livraison,85,Late delivery,NEGATIVE
présentation vehicule,85,Vehicle presentation,MIXED
engagements,85,Commitments,MIXED
bas,85,Low,NEGATIVE
immediatement,85,Right away.,POSITIVE
tres bien accueilli,85,Very well received,POSITIVE
accueillante,85,Welcoming,MIXED
sans aucun,85,Without any,NEGATIVE
la,85,The,MIXED
document,85,Document,MIXED
achat ligne,84,Purchase line,POSITIVE
sourire,84,Smile,POSITIVE
bien fait,84,Well done.,POSITIVE
cle,84,Key,MIXED
commande vehicule,84,Vehicle control,MIXED
prix tres,84,Prices,MIXED
appeler,84,Call,MIXED
tres vite,84,Very quickly.,POSITIVE
partir,84,Leaving,MIXED
bonheur,83,Happiness,POSITIVE
vehicule correspond,83,Vehicle corresponds,POSITIVE
cela fait,83,That's it.,MIXED
vehicule ete livre,83,Vehicle and delivered,POSITIVE
tenu,83,Held,MIXED
comptant,83,Cash,MIXED
accompagner,83,Accompany,MIXED
novembre,83,November,MIXED
oblige,83,Obliging,MIXED
toujours ete,83,Always been,POSITIVE
semble,83,Seems,NEGATIVE
megan,82,Megan.,MIXED
positive,82,Positive,MIXED
merci tout,82,Thank you all.,POSITIVE
peur,82,Fear,MIXED
imperfections,82,Imperfections,NEGATIVE
téléphoniques,82,Telephone,MIXED
ancienne,82,Old,NEGATIVE
cet achat,82,This purchase,MIXED
clientèle,82,Clients,NEGATIVE
montre,82,Show me.,POSITIVE
date preuve,82,Date proof,MIXED
achete chez,82,Purchased from,MIXED
securite,82,Security,POSITIVE
repondu toutes,81,Answer all,MIXED
sens,81,Sense,MIXED
actifs,81,Assets,MIXED
projet,81,Project,NEGATIVE
resterai,81,Will stay,NEGATIVE
vehicule sans,81,Vehicle without,NEGATIVE
achat tres,81,Purchase very,POSITIVE
entourage,81,Entourage,MIXED
qualité service,81,Quality of service,POSITIVE
cours,81,Course,POSITIVE
prepare,81,Prepare,MIXED
difficile,81,Difficult,MIXED
formalités,81,Formalities,MIXED
samedi,81,Saturday,MIXED
plaques,81,Plates,MIXED
détail,80,Detail,MIXED
ras,80,Clear.,NEGATIVE
peine,80,Punishment,NEGATIVE
professionnel tres,80,Professional very,POSITIVE
vacances,80,Holidays,MIXED
rappeler,80,Recall,POSITIVE
sais,80,Know,MIXED
madame,80,Madam.,NEGATIVE
suivre,80,Follow,POSITIVE
